Key,Translation
print:author:placeholder,"Opcionalmente, Tu Nombre"
print:author:title,Autor
print:back:title,Atrás
print:date:title,Fecha
print:keyboard:label,Teclado
print:layer:label,Capa
print:layout:label,Layout
print:notes:empty,Mi keymap genial
print:notes:placeholder,Notas sobre esta configuración
print:notes:title,Notas
print:print:title,Imprimir
print:source:title,Fuente
printKeymap:label,Imprimir keymap
printKeymap:title,Imprimir capas de keymap
settingsPanel:advanced:heading,Advanced
settingsPanel:basic:heading,User Interface
settingsPanel:clearLayer:help,
settingsPanel:clearLayer:label,
settingsPanel:darkMode:help,
settingsPanel:darkMode:label,Cambiar Modo oscuro
settingsPanel:fastInput:help,Ingresar teclas por medio del teclado sin hacer click en cada posición
settingsPanel:fastInput:label,Entrada rápida (Ctrl+Alt+F)
settingsPanel:help:heading,Help & Resources
settingsPanel:input:heading,Input
settingsPanel:language:help,
settingsPanel:language:label,Idioma
settingsPanel:legendType:index,
settingsPanel:legendType:keymap,
settingsPanel:legendType:matrix,
settingsPanel:legendType:size,
settingsPanel:legends:help,
settingsPanel:legends:label,
settingsPanel:off:label,No
settingsPanel:on:label,Sí
settingsPanel:osKeyboardLayout:help,
settingsPanel:osKeyboardLayout:option:keymap_belgian,
settingsPanel:osKeyboardLayout:option:keymap_bepo,
settingsPanel:osKeyboardLayout:option:keymap_brazilian_abnt2,
settingsPanel:osKeyboardLayout:option:keymap_canadian_multilingual,
settingsPanel:osKeyboardLayout:option:keymap_colemak,
settingsPanel:osKeyboardLayout:option:keymap_croatian,
settingsPanel:osKeyboardLayout:option:keymap_czech,
settingsPanel:osKeyboardLayout:option:keymap_danish,
settingsPanel:osKeyboardLayout:option:keymap_dvorak,
settingsPanel:osKeyboardLayout:option:keymap_dvorak_fr,
settingsPanel:osKeyboardLayout:option:keymap_dvorak_programmer,
settingsPanel:osKeyboardLayout:option:keymap_estonian,
settingsPanel:osKeyboardLayout:option:keymap_finnish,
settingsPanel:osKeyboardLayout:option:keymap_french,
settingsPanel:osKeyboardLayout:option:keymap_french_afnor,
settingsPanel:osKeyboardLayout:option:keymap_french_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_german,Alemán (Alemania y Austria)
settingsPanel:osKeyboardLayout:option:keymap_greek,
settingsPanel:osKeyboardLayout:option:keymap_hebrew,
settingsPanel:osKeyboardLayout:option:keymap_hungarian,
settingsPanel:osKeyboardLayout:option:keymap_icelandic,
settingsPanel:osKeyboardLayout:option:keymap_irish,
settingsPanel:osKeyboardLayout:option:keymap_italian,
settingsPanel:osKeyboardLayout:option:keymap_italian_mac_ansi,
settingsPanel:osKeyboardLayout:option:keymap_italian_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_japanese,
settingsPanel:osKeyboardLayout:option:keymap_korean,
settingsPanel:osKeyboardLayout:option:keymap_latvian,
settingsPanel:osKeyboardLayout:option:keymap_lithuanian_azerty,
settingsPanel:osKeyboardLayout:option:keymap_lithuanian_qwerty,
settingsPanel:osKeyboardLayout:option:keymap_neo2,
settingsPanel:osKeyboardLayout:option:keymap_norman,
settingsPanel:osKeyboardLayout:option:keymap_norwegian,
settingsPanel:osKeyboardLayout:option:keymap_polish,
settingsPanel:osKeyboardLayout:option:keymap_portuguese,
settingsPanel:osKeyboardLayout:option:keymap_portuguese_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_romanian,
settingsPanel:osKeyboardLayout:option:keymap_russian,Ruso
settingsPanel:osKeyboardLayout:option:keymap_serbian,
settingsPanel:osKeyboardLayout:option:keymap_serbian_latin,
settingsPanel:osKeyboardLayout:option:keymap_slovak,
settingsPanel:osKeyboardLayout:option:keymap_slovenian,
settingsPanel:osKeyboardLayout:option:keymap_spanish,Español
settingsPanel:osKeyboardLayout:option:keymap_spanish_dvorak,Español (Dvorak)
settingsPanel:osKeyboardLayout:option:keymap_spanish_latin_america,Español (Latinoamérica)
settingsPanel:osKeyboardLayout:option:keymap_swedish,
settingsPanel:osKeyboardLayout:option:keymap_swedish_mac_ansi,
settingsPanel:osKeyboardLayout:option:keymap_swedish_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_swedish_pro_mac_ansi,
settingsPanel:osKeyboardLayout:option:keymap_swedish_pro_mac_iso,
settingsPanel:osKeyboardLayout:option:keymap_swiss_de,
settingsPanel:osKeyboardLayout:option:keymap_swiss_fr,
settingsPanel:osKeyboardLayout:option:keymap_turkish_f,
settingsPanel:osKeyboardLayout:option:keymap_turkish_q,
settingsPanel:osKeyboardLayout:option:keymap_uk,Inglés (Reino Unido)
settingsPanel:osKeyboardLayout:option:keymap_ukrainian,
settingsPanel:osKeyboardLayout:option:keymap_us,Inglés (Estados Unidos)
settingsPanel:osKeyboardLayout:option:keymap_us_extended,
settingsPanel:osKeyboardLayout:option:keymap_us_international,
settingsPanel:osKeyboardLayout:option:keymap_us_international_linux,
settingsPanel:osKeyboardLayout:option:keymap_workman,
settingsPanel:osKeyboardLayout:option:keymap_workman_zxcvm,
settingsPanel:osKeyboardLayout:label,
settingsPanel:snowflakes:label,
settingsPanel:toggleTutorial:help,MechMerlin video guía
settingsPanel:toggleTutorial:label,Video Tutorial
settingsPanel:printing:heading,Impresión
settingsPanel:printing:useBlankForUnassigned:label,Usar espacio en blanco para teclas no asignadas
settingsPanel:printing:useBlankForUnassigned:help,Muestra un espacio en blanco en lugar de N/A al imprimir teclas no asignadas.
settingsPanel:printing:applyDisabledStyleForUnassigned:label,Usar estilo deshabilitado para teclas no asignadas
settingsPanel:printing:applyDisabledStyleForUnassigned:help,Aplica un fondo gris al imprimir teclas no asignadas.
testKeys:label,Probar teclado
testKeys:title,Probar entrada del teclado
tester:back:label,Atrás
tester:back:title,Regresar a Configurator
tester:chatter:detectedAlert,¡Se ha detectado chatter!
tester:chatter:label,Umbral de chatter (ms)
tester:docs:paragraph,Nota: Tecla y código detectado pueden ser diferentes según tu localidad. Docs
tester:keycodeStatus:label,Códigos de teclas detectados
tester:letters:code:label,código
tester:letters:key:label,tecla
tester:letters:keycode:label,código de tecla
tester:page:label,Probador de teclado
tester:reset:label,Restablecer
tester:reset:title,Restablecer las teclas detectadas
tester:typewritericon:label,
toggleTerminal:label,
toggleTerminal:title,
