Key,Translation
potato:24,“马铃薯是最环保的蔬菜之一。它们易于种植，不需要像许多其他蔬菜一样大量依赖肥料和化学添加剂。”
potato:25,马铃薯起源于南秘鲁地区，最早在公元前8000年至5000年之间被驯化。
potato:26,马铃薯的英文 potato 源自西班牙语词汇 patata。
potato:27,马铃薯通常由昆虫授粉，比如黄蜂。
potato:28,一个土豆由80%的水和20%的固体构成。
potato:3,2017年，美国的土豆爱好者消费了400万吨不同形状和尺寸的薯条。
potato:4,土豆是一种强力的催情剂，一名爱尔兰物理学家表示。
potato:5,美国人每年人均食用140镑土豆。德国人每年人均食用200镑土豆。
potato:6,根据吉尼斯世界纪录，最大的土豆重18镑4盎司，于1795年在英格兰长成。
potato:7,马铃薯是世界第四大主食，排在小麦、玉米和大米之后。
potato:8,马铃薯在超过125个国家种植。
potato:9,世界每年的马铃薯产量足以覆盖一条4车道马路环绕地球6圈。
print:anonymous:label,匿名
print:author:placeholder,你的名字（可选）
print:author:title,作者
print:back:title,返回
print:date:title,日期
print:keyboard:label,键盘
print:layer:label,层
print:layout:label,配列
print:notes:empty,默认键位
print:notes:placeholder,该配置的说明
print:notes:title,说明
print:print:title,打印
print:source:title,源码
printKeymap:label,打印键位
printKeymap:title,打印键位表
settingsPanel:clearLayer:help,
settingsPanel:clearLayer:title,
settingsPanel:darkmode:help,使用 QMK 深色主题
settingsPanel:darkmode:label,深色模式
settingsPanel:displaySizes:help,以按键单位(u)显示键帽尺寸
settingsPanel:displaySizes:label,显示按键尺寸
settingsPanel:displaySizes:title,ctrl + alt + u
settingsPanel:fastInput:help,直接通过键盘输入键位
settingsPanel:fastInput:label,快速输入
settingsPanel:fastInput:title,ctrl + alt + f
settingsPanel:kcno:label,
settingsPanel:kctrns:label,
settingsPanel:language:help,更改用户界面语言
settingsPanel:language:title,语言
settingsPanel:off:label,关闭
settingsPanel:on:label,开启
settingsPanel:snowflakes:label,开启 Snowflakes
settingsPanel:snowflakes:title,Snowflakes
settingsPanel:title,配置选项
settingsPanel:toggleTutorial:help,MechMerlin 的视频教程
settingsPanel:toggleTutorial:label,视频教程
testKeys:label,测试键盘
testKeys:title,测试键盘输入
tester:back:label,返回
tester:back:title,回到配置页面
tester:chatter:detectedAlert,探测到连击！
tester:chatter:label,连击阈值 (ms)
tester:docs:paragraph,注意：探测到的键位值和键位码可能会因为本地设置有所不同。文档
tester:keycodeStatus:label,键码已探测
tester:letters:code:label,键位代码
tester:letters:key:label,键位值
tester:letters:keycode:label,键位码
tester:page:label,重置
tester:reset:label,重置已测试按键
tester:reset:title,开启打字机音效
tester:typewritericon:label,开启打字机音效
toggleTerminal:label,点击展开
toggleTerminal:title,开启终端显示
